Character,Count,Unicode,FontSize,FontWebName,Width,Height,ImagePath,ForegroundColor,BackgroundColor,TextAlignment,CalculatedWidth,CalculatedHeight
م,13145521,1605,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_1605.jpg,Black,White,Center,13,25
ن,14644153,1606,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_1606.jpg,Black,White,Center,15,25
ه,2049,1607,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_1607.jpg,Black,White,Center,10,25
و,15446671,1608,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_1608.jpg,Black,White,Center,11,25
ى,0,1609,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_1609.jpg,Black,White,Center,16,25
ٹ,3308239,1657,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_1657.jpg,Black,White,Center,19,25
پ,4784591,1662,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_1662.jpg,Black,White,Center,19,25
چ,1481519,1670,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_1670.jpg,Black,White,Center,16,25
ڈ,1499695,1672,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_1672.jpg,Black,White,Center,10,25
ډ,0,1673,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_1673.jpg,Black,White,Center,12,25
ڎ,0,1678,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_1678.jpg,Black,White,Center,12,25
ڑ,545371,1681,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_1681.jpg,Black,White,Center,11,25
ژ,26556,1688,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_1688.jpg,Black,White,Center,12,25
ک,18219702,1705,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_1705.jpg,Black,White,Center,23,25
ڪ,0,1706,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_1706.jpg,Black,White,Center,26,25
گ,3448530,1711,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_1711.jpg,Black,White,Center,23,25
ں,5549183,1722,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_1722.jpg,Black,White,Center,15,25
ھ,2887905,1726,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_1726.jpg,Black,White,Center,13,25
ہ,11608774,1729,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_1729.jpg,Black,White,Center,10,25
ی,27309693,1740,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_1740.jpg,Black,White,Center,16,25
ے,12499420,1746,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_1746.jpg,Black,White,Center,20,25
ە,338,1749,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_1749.jpg,Black,White,Center,11,25
ﺍ,0,65165,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65165.jpg,Black,White,Center,10,25
ﺎ,0,65166,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65166.jpg,Black,White,Center,8,25
ﺏ,0,65167,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65167.jpg,Black,White,Center,19,25
ﺐ,0,65168,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65168.jpg,Black,White,Center,19,25
ﺑ,0,65169,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65169.jpg,Black,White,Center,8,25
ﺒ,0,65170,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65170.jpg,Black,White,Center,8,25
ﺓ,0,65171,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65171.jpg,Black,White,Center,10,25
ﺔ,0,65172,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65172.jpg,Black,White,Center,10,25
ﺕ,0,65173,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65173.jpg,Black,White,Center,19,25
ﺖ,0,65174,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65174.jpg,Black,White,Center,19,25
ﺗ,0,65175,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65175.jpg,Black,White,Center,9,25
ﺘ,0,65176,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65176.jpg,Black,White,Center,10,25
ﺙ,0,65177,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65177.jpg,Black,White,Center,19,25
ﺚ,0,65178,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65178.jpg,Black,White,Center,19,25
ﺛ,0,65179,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65179.jpg,Black,White,Center,9,25
ﺜ,0,65180,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65180.jpg,Black,White,Center,10,25
ﺝ,0,65181,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65181.jpg,Black,White,Center,16,25
ﺞ,0,65182,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65182.jpg,Black,White,Center,13,25
ﺟ,0,65183,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65183.jpg,Black,White,Center,11,25
ﺠ,0,65184,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65184.jpg,Black,White,Center,11,25
ﺡ,0,65185,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65185.jpg,Black,White,Center,16,25
ﺢ,0,65186,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65186.jpg,Black,White,Center,13,25
ﺣ,0,65187,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65187.jpg,Black,White,Center,11,25
ﺤ,0,65188,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65188.jpg,Black,White,Center,11,25
ﺥ,0,65189,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65189.jpg,Black,White,Center,16,25
ﺦ,0,65190,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65190.jpg,Black,White,Center,13,25
ﺧ,0,65191,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65191.jpg,Black,White,Center,11,25
ﺨ,0,65192,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65192.jpg,Black,White,Center,11,25
ﺩ,0,65193,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65193.jpg,Black,White,Center,12,25
ﺪ,0,65194,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65194.jpg,Black,White,Center,11,25
ﺫ,0,65195,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65195.jpg,Black,White,Center,12,25
ﺬ,0,65196,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65196.jpg,Black,White,Center,11,25
ﺭ,0,65197,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65197.jpg,Black,White,Center,15,25
ﺮ,0,65198,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65198.jpg,Black,White,Center,14,25
ﺯ,0,65199,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65199.jpg,Black,White,Center,15,25
ﺰ,0,65200,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65200.jpg,Black,White,Center,13,25
ﺱ,0,65201,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65201.jpg,Black,White,Center,21,25
ﺲ,0,65202,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65202.jpg,Black,White,Center,19,25
ﺳ,0,65203,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65203.jpg,Black,White,Center,12,25
ﺴ,0,65204,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65204.jpg,Black,White,Center,13,25
ﺵ,0,65205,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65205.jpg,Black,White,Center,21,25
ﺶ,0,65206,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65206.jpg,Black,White,Center,19,25
ﺷ,0,65207,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65207.jpg,Black,White,Center,12,25
ﺸ,0,65208,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65208.jpg,Black,White,Center,13,25
ﺹ,0,65209,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65209.jpg,Black,White,Center,26,25
ﺺ,0,65210,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65210.jpg,Black,White,Center,22,25
ﺻ,0,65211,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65211.jpg,Black,White,Center,14,25
ﺼ,0,65212,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65212.jpg,Black,White,Center,13,25
ﺽ,0,65213,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65213.jpg,Black,White,Center,26,25
ﺾ,0,65214,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65214.jpg,Black,White,Center,22,25
ﺿ,0,65215,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65215.jpg,Black,White,Center,14,25
ﻀ,0,65216,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65216.jpg,Black,White,Center,13,25
ﻁ,0,65217,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65217.jpg,Black,White,Center,16,25
ﻂ,0,65218,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65218.jpg,Black,White,Center,11,25
ﻃ,0,65219,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65219.jpg,Black,White,Center,10,25
ﻄ,0,65220,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65220.jpg,Black,White,Center,10,25
ﻅ,0,65221,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65221.jpg,Black,White,Center,16,25
ﻆ,0,65222,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65222.jpg,Black,White,Center,11,25
ﻇ,0,65223,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65223.jpg,Black,White,Center,10,25
ﻈ,0,65224,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65224.jpg,Black,White,Center,10,25
ﻉ,0,65225,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65225.jpg,Black,White,Center,16,25
ﻊ,0,65226,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65226.jpg,Black,White,Center,13,25
ﻋ,0,65227,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65227.jpg,Black,White,Center,11,25
ﻌ,0,65228,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65228.jpg,Black,White,Center,10,25
ﻍ,0,65229,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65229.jpg,Black,White,Center,16,25
ﻎ,0,65230,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65230.jpg,Black,White,Center,13,25
ﻏ,0,65231,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65231.jpg,Black,White,Center,11,25
ﻐ,0,65232,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65232.jpg,Black,White,Center,10,25
ﻑ,0,65233,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65233.jpg,Black,White,Center,20,25
ﻒ,0,65234,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65234.jpg,Black,White,Center,20,25
ﻓ,0,65235,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65235.jpg,Black,White,Center,9,25
ﻔ,0,65236,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65236.jpg,Black,White,Center,10,25
ﻕ,0,65237,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65237.jpg,Black,White,Center,16,25
ﻖ,0,65238,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65238.jpg,Black,White,Center,15,25
ﻗ,0,65239,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65239.jpg,Black,White,Center,9,25
ﻘ,0,65240,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65240.jpg,Black,White,Center,10,25
ﻙ,0,65241,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65241.jpg,Black,White,Center,17,25
ﻚ,0,65242,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65242.jpg,Black,White,Center,20,25
ﻛ,0,65243,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65243.jpg,Black,White,Center,10,25
ﻜ,0,65244,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65244.jpg,Black,White,Center,9,25
ﻝ,0,65245,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65245.jpg,Black,White,Center,15,25
ﻞ,0,65246,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65246.jpg,Black,White,Center,16,25
ﻟ,0,65247,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65247.jpg,Black,White,Center,8,25
ﻠ,0,65248,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65248.jpg,Black,White,Center,9,25
ﻡ,0,65249,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65249.jpg,Black,White,Center,12,25
ﻢ,0,65250,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65250.jpg,Black,White,Center,13,25
ﻣ,0,65251,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65251.jpg,Black,White,Center,10,25
ﻤ,0,65252,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65252.jpg,Black,White,Center,10,25
ﻥ,0,65253,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65253.jpg,Black,White,Center,15,25
ﻦ,0,65254,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65254.jpg,Black,White,Center,16,25
ﻧ,0,65255,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65255.jpg,Black,White,Center,8,25
ﻨ,0,65256,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65256.jpg,Black,White,Center,8,25
ﻩ,0,65257,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65257.jpg,Black,White,Center,10,25
ﻪ,0,65258,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65258.jpg,Black,White,Center,10,25
ﻫ,0,65259,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65259.jpg,Black,White,Center,10,25
ﻬ,0,65260,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65260.jpg,Black,White,Center,9,25
ﻭ,0,65261,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65261.jpg,Black,White,Center,14,25
ﻮ,0,65262,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65262.jpg,Black,White,Center,11,25
ﻯ,0,65263,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65263.jpg,Black,White,Center,17,25
ﻰ,0,65264,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65264.jpg,Black,White,Center,14,25
ﻱ,0,65265,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65265.jpg,Black,White,Center,17,25
ﻲ,0,65266,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65266.jpg,Black,White,Center,14,25
ﻳ,0,65267,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65267.jpg,Black,White,Center,9,25
ﻴ,0,65268,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65268.jpg,Black,White,Center,10,25
ﮨ,0,64424,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_64424.jpg,Black,White,Center,10,25
ﮩ,0,64425,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_64425.jpg,Black,White,Center,15,25
ﮮ,0,64430,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_64430.jpg,Black,White,Center,21,25
ﮯ,0,64431,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_64431.jpg,Black,White,Center,21,25
ﮎ,0,64398,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_64398.jpg,Black,White,Center,23,25
ﮏ,0,64399,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_64399.jpg,Black,White,Center,21,25
ﮐ,0,64400,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_64400.jpg,Black,White,Center,11,25
ﮑ,0,64401,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_64401.jpg,Black,White,Center,9,25
ﮒ,0,64402,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_64402.jpg,Black,White,Center,17,25
ﮓ,0,64403,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_64403.jpg,Black,White,Center,21,25
ﮔ,0,64404,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_64404.jpg,Black,White,Center,11,25
ﮕ,0,64405,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_64405.jpg,Black,White,Center,9,25
ﭖ,0,64342,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_64342.jpg,Black,White,Center,19,25
ﭗ,0,64343,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_64343.jpg,Black,White,Center,19,25
ﭘ,0,64344,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_64344.jpg,Black,White,Center,9,25
ﭙ,0,64345,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_64345.jpg,Black,White,Center,10,25
ﭦ,0,64358,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_64358.jpg,Black,White,Center,19,25
ﭧ,0,64359,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_64359.jpg,Black,White,Center,19,25
ﭨ,0,64360,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_64360.jpg,Black,White,Center,10,25
ﭩ,0,64361,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_64361.jpg,Black,White,Center,10,25
ﭺ,0,64378,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_64378.jpg,Black,White,Center,16,25
ﭻ,0,64379,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_64379.jpg,Black,White,Center,13,25
ﭼ,0,64380,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_64380.jpg,Black,White,Center,11,25
ﭽ,0,64381,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_64381.jpg,Black,White,Center,11,25
ﮈ,0,64392,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_64392.jpg,Black,White,Center,12,25
ﮉ,0,64393,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_64393.jpg,Black,White,Center,12,25
ﮊ,0,64394,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_64394.jpg,Black,White,Center,15,25
ﮋ,0,64395,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_64395.jpg,Black,White,Center,15,25
ﮌ,0,64396,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_64396.jpg,Black,White,Center,15,25
ﮍ,0,64397,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_64397.jpg,Black,White,Center,13,25
ﮞ,0,64414,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_64414.jpg,Black,White,Center,15,25
ﮟ,0,64415,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_64415.jpg,Black,White,Center,15,25
A,3452,65,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_65.jpg,Black,White,Center,18,25
B,1345,66,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_66.jpg,Black,White,Center,18,25
C,2263,67,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_67.jpg,Black,White,Center,19,25
D,1420,68,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_68.jpg,Black,White,Center,19,25
E,1473,69,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_69.jpg,Black,White,Center,18,25
F,1303,70,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_70.jpg,Black,White,Center,17,25
G,1218,71,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_71.jpg,Black,White,Center,20,25
H,833,72,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_72.jpg,Black,White,Center,19,25
I,3185,73,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_73.jpg,Black,White,Center,11,25
J,770,74,12,UrduTehreer,32,32,./CharacterImages/Tehreer/Size_12/Batch_0/Character_74.jpg,Black,White,Center,15,25
